Date,Open,High,Low,Close
11/21/2011,13.11,13.11,13.11,13.11
11/18/2011,13.39,13.39,13.39,13.39
11/17/2011,13.45,13.45,13.45,13.45
11/16/2011,13.74,13.74,13.74,13.74
11/15/2011,13.97,13.97,13.97,13.97
11/14/2011,13.91,13.91,13.91,13.91
11/11/2011,14,14,14,14
11/10/2011,13.7,13.7,13.7,13.7
11/9/2011,13.62,13.62,13.62,13.62
11/8/2011,14.22,14.22,14.22,14.22
11/7/2011,14.07,14.07,14.07,14.07
11/4/2011,14.05,14.05,14.05,14.05
11/3/2011,14.09,14.09,14.09,14.09
11/2/2011,13.76,13.76,13.76,13.76
11/1/2011,13.5,13.5,13.5,13.5
10/31/2011,13.97,13.97,13.97,13.97
10/28/2011,14.33,14.33,14.33,14.33
10/27/2011,14.29,14.29,14.29,14.29
10/26/2011,13.82,13.82,13.82,13.82
10/25/2011,13.67,13.67,13.67,13.67
10/24/2011,14.02,14.02,14.02,14.02
10/21/2011,13.74,13.74,13.74,13.74
10/20/2011,13.5,13.5,13.5,13.5
10/19/2011,13.41,13.41,13.41,13.41
10/18/2011,13.7,13.7,13.7,13.7
10/17/2011,13.45,13.45,13.45,13.45
10/14/2011,13.72,13.72,13.72,13.72
10/13/2011,13.45,13.45,13.45,13.45
10/12/2011,13.42,13.42,13.42,13.42
10/11/2011,13.34,13.34,13.34,13.34
10/10/2011,13.28,13.28,13.28,13.28
10/7/2011,12.81,12.81,12.81,12.81
10/6/2011,12.88,12.88,12.88,12.88
10/5/2011,12.67,12.67,12.67,12.67
10/4/2011,12.45,12.45,12.45,12.45
10/3/2011,12.23,12.23,12.23,12.23
9/30/2011,12.62,12.62,12.62,12.62
9/29/2011,12.89,12.89,12.89,12.89
9/28/2011,13,13,13,13
9/27/2011,13.27,13.27,13.27,13.27
9/26/2011,13.13,13.13,13.13,13.13
9/23/2011,12.96,12.96,12.96,12.96
9/22/2011,12.88,12.88,12.88,12.88
9/21/2011,13.36,13.36,13.36,13.36
9/20/2011,13.7,13.7,13.7,13.7
9/19/2011,13.72,13.72,13.72,13.72
9/16/2011,13.75,13.75,13.75,13.75
9/15/2011,13.63,13.63,13.63,13.63
9/14/2011,13.37,13.37,13.37,13.37
9/13/2011,13.17,13.17,13.17,13.17
9/12/2011,13.04,13.04,13.04,13.04
9/9/2011,13,13,13,13
9/8/2011,13.36,13.36,13.36,13.36
