Date,Close,Volume,SMAVG (15)
2/25/1999,713.92999,278043296,275696992
2/24/1999,718.33002,248964400,273937440
2/23/1999,730.62,284755104,277019584
2/22/1999,728.58002,271818496,276200704
2/19/1999,708.75,242099696,277489408
2/18/1999,706.78003,281323296,279709536
2/17/1999,699.46997,368807296,279928864
2/16/1999,711.35999,251018208,273759872
2/12/1999,702.90997,267797504,272985856
2/11/1999,718.44,245408704,273490944
2/10/1999,696,267331392,277695968
2/9/1999,690.08002,263257792,281070368
2/8/1999,709.21997,267991008,281183520
2/5/1999,705.60999,320971712,279598368
2/4/1999,715.07001,275866816,275796064
2/3/1999,731.96002,251650000,280247968
2/2/1999,729.28003,295196512,282003904
2/1/1999,734.97998,272472192,280629216
1/29/1999,739.54999,291149184,280469472
1/28/1999,730.02002,275401504,278483968
1/27/1999,714.19,284613312,280559520
1/26/1999,713.5,276272000,277854112
1/25/1999,697.62,239408400,276372416
1/22/1999,690.16998,275373408,271820032
1/21/1999,696.67999,308484192,264185440
1/20/1999,711.10999,317947584,253916400
1/19/1999,707.96997,264955008,242411360
1/15/1999,700.33002,244213792,229322432
1/14/1999,681.39001,263937200,228100176
1/13/1999,691.37,342645408,225675664
1/12/1999,691.95001,277988896,219383696
1/11/1999,707.52002,274576192,218118432
1/8/1999,713.95001,270076000,212193504
1/7/1999,714.98999,261366496,207695904
1/6/1999,717.78998,306535008,205741952
1/5/1999,703.67999,244032304,199574592
1/4/1999,693.89001,254046208,197647872
12/31/1998,697.27002,171122896,196052000
12/30/1998,699.88,160854304,197559360
12/29/1998,706.69,154448704,202161488
12/28/1998,697.28003,145372096,204260880
12/24/1998,697.16998,68620896,208928448
12/23/1998,698.94,225880096,220358752
12/22/1998,681.65997,227569504,221785568
12/21/1998,678.22998,248265792,225402960
12/18/1998,668.39001,259009904,223410816
12/17/1998,662.94,185702400,211245872
12/16/1998,653.65002,202612000,209444672
12/15/1998,656.06,232057104,212360544
12/14/1998,639.82001,214024608,213870800
12/11/1998,655.31,215131504,213200048
12/10/1998,652.71002,230108304,213902096
12/9/1998,664.35999,193733296,214060704
12/8/1998,664.10999,229886096,216874304
12/7/1998,666.91998,185939696,214711376
12/4/1998,659.77002,215385408,215600832
12/3/1998,643.58002,240075504,214563136
12/2/1998,656.97998,247282400,215438832
12/1/1998,658.82001,281830496,214950192
11/30/1998,648.63,218383504,209935760
11/27/1998,665.45001,76535800,209550128
11/25/1998,663.56,158684400,221054368
11/24/1998,662.15002,246350000,228866592
11/23/1998,666.53003,254710896,226691712
11/20/1998,651.29999,203963392,224574688
11/19/1998,645.01001,225662304,225209200
11/18/1998,639.81,232487296,224690432
11/17/1998,634.37,235937296,222868336
11/16/1998,631.26001,197442304,223937904
11/13/1998,624.44,199281408,225059424
11/12/1998,622.46997,199820096,224646992
11/11/1998,626.29999,253210800,226593152
